id,city,type,dist,bedroom_num,hall_num,bathroom_num,rent_area,house_title,resblock_name,bizcircle_name,layout,rent_price_listing,house_tag,frame_orientation,m_url,rent_price_unit,longitude,latitude,distance
167224,深圳,整租,龙岗区,1,1,1,56,整租·华创云轩 1室1厅 LOFT 东南,华创云轩,坂田,1室1厅1卫,3950,新上 月租 精装,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2494757173779759104.html,元/月,114.07241532481,22.657524721369,
168875,深圳,整租,龙岗区,3,2,2,116,整租·宝龙花园 3室2厅 东南,宝龙花园,布吉街,3室2厅2卫,4800,官方核验 近地铁 双卫生间 随时看房,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2485392328781463552.html,元/月,114.123777,22.611174,512
180682,深圳,合租,南山区,5,1,2,20,合租·阳光带海滨城二期 5居室 南卧,阳光带海滨城二期,科技园,5室1厅2卫,5130,独立卫生间 近地铁 精装 独立阳台 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2491638510743207936.html,元/月,113.953571,22.53112,27
165699,深圳,整租,宝安区,1,0,1,26,独栋·Q家公寓 Q家公寓 朝阳小单间26平 开间,,西乡,1室0厅1卫,2200,月租 开放厨房 押一付一,东,https://m.lianjia.com/chuzu/sz/apartment/layout/266629.html,元/月,113.867838,22.590496,
166957,深圳,整租,龙岗区,3,1,2,89,整租·万科麓城一期 3室1厅 东南/南,万科麓城一期,布吉水径,3室1厅2卫,6000,官方核验 近地铁 双卫生间 随时看房,东南 南,https://m.lianjia.com/chuzu/sz/zufang/SZ2437682782316019712.html,元/月,114.111333,22.631135,477
173505,深圳,合租,福田区,5,0,1,10,合租·新洲大厦 5居室 南卧,新洲大厦,新洲,5室0厅1卫,1650,首月0元 月租 近地铁 精装,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2072325596302032896.html,元/月,114.05555133875,22.53262608967,770
178720,深圳,整租,龙岗区,3,2,2,90,整租·公园花半里 3室2厅 东南,公园花半里,龙岗双龙,3室2厅2卫,4000,官方核验 精装 双卫生间 随时看房,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2489786468474552320.html,元/月,114.279336,22.718374,
158938,深圳,整租,福田区,1,1,1,49,整租·丽阳天下 1室1厅 北,丽阳天下,石厦,1室1厅1卫,6200,官方核验 近地铁,北,https://m.lianjia.com/chuzu/sz/zufang/SZ2458644800522420224.html,元/月,114.057604,22.531009,336
166713,深圳,整租,龙岗区,4,1,2,94,整租·怡康家园 4室1厅 东,怡康家园,布吉大芬,4室1厅2卫,5900,官方核验 双卫生间,东,https://m.lianjia.com/chuzu/sz/zufang/SZ2478917135414870016.html,元/月,114.14366220514,22.620278570176,1187
155488,深圳,整租,福田区,2,1,1,71,整租·京基御景华城 2室1厅 东,京基御景华城,赤尾,2室1厅1卫,6300,官方核验 近地铁,东,https://m.lianjia.com/chuzu/sz/zufang/SZ2476626228917321728.html,元/月,114.09214392421,22.538761462211,96
180481,深圳,合租,南山区,4,1,2,11,合租·大冲新城花园 4居室 西南卧,大冲新城花园,科技园,4室1厅2卫,4530,独立卫生间 近地铁 精装 随时看房,西南,https://m.lianjia.com/chuzu/sz/zufang/SZ2167100442990362624.html,元/月,113.957672,22.547709,240
170280,深圳,整租,龙岗区,1,1,1,52,整租·星河上寓 1室1厅 西南,星河上寓,龙岗中心城,1室1厅1卫,2900,新上 精装 随时看房,西南,https://m.lianjia.com/chuzu/sz/zufang/SZ2494699550653022208.html,元/月,,,
171343,深圳,整租,龙华区,1,1,1,49,整租·丹枫雅苑 1室1厅 东南,丹枫雅苑,龙华中心,1室1厅1卫,3400,官方核验 近地铁 随时看房,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2478032020652441600.html,元/月,,,
153300,深圳,整租,罗湖区,1,1,1,42,整租·深业东岭 1室1厅 东南,深业东岭,黄贝岭,1室1厅1卫,5200,近地铁 精装 随时看房,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2420167914071269376.html,元/月,114.14716320271,22.55576514345,978
181584,深圳,合租,龙华区,5,1,2,16,合租·美丽365花园 5居室 南卧,美丽365花园,龙华中心,5室1厅2卫,1890,近地铁 精装 独立阳台 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2476597406356217856.html,元/月,114.03840647447,22.669434745559,314
151178,深圳,整租,罗湖区,2,1,1,84,整租·布心花园二区 2室1厅 西南,布心花园二区,布心,2室1厅1卫,4000,月租 近地铁 随时看房,西南,https://m.lianjia.com/chuzu/sz/zufang/SZ2479454338943025152.html,元/月,114.14811833914,22.581420044575,538
175789,深圳,合租,福田区,4,1,1,11,合租·华茂苑 4居室 东南卧,华茂苑,梅林,4室1厅1卫,1850,近地铁 精装 随时看房,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2310026497437466624.html,元/月,114.06365208835,22.569768645413,706
178769,深圳,整租,龙岗区,4,2,2,162,整租·佳兆业水岸新都 4室2厅 南,佳兆业水岸新都,龙岗双龙,4室2厅2卫,8000,官方核验 双卫生间,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2298572640694042624.html,元/月,114.284242,22.754512,
174493,深圳,合租,龙岗区,4,2,2,9,合租·佳华领汇广场 4居室 南卧,佳华领汇广场,坂田,4室2厅2卫,1360,首月0元 月租 近地铁 精装 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2472959670172516352.html,元/月,114.06598562381,22.638528544435,
157467,深圳,整租,福田区,1,0,1,19,独栋·英兔轻社区 景田店 06号房 开间,,景田,1室0厅1卫,2680,月租 拎包入住 近地铁 开放厨房,东北,https://m.lianjia.com/chuzu/sz/apartment/layout/219679.html,元/月,114.049317,22.562705,
176765,深圳,整租,南山区,1,0,1,21,独栋·集悦城@塘朗 B45栋 舒适大床房 开间,,科技园,1室0厅1卫,2412,月租 开放厨房 押一付一,东南,https://m.lianjia.com/chuzu/sz/apartment/layout/192426.html,元/月,113.992336,22.593419,
166627,深圳,整租,龙岗区,3,2,1,78,整租·帝景峰 3室2厅 东南,帝景峰,布吉大芬,3室2厅1卫,4200,官方核验 近地铁,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2481214306616877056.html,元/月,114.139396,22.616948,
157239,深圳,整租,福田区,1,1,1,44,整租·君悦阁 1室1厅 东,君悦阁,华强北,1室1厅1卫,6300,官方核验 近地铁,东,https://m.lianjia.com/chuzu/sz/zufang/SZ2474658886548717568.html,元/月,114.09924156654,22.548055832881,233
158840,深圳,整租,福田区,1,0,1,36,整租·南方国际广场 1室0厅 南,南方国际广场,石厦,1室0厅1卫,4800,官方核验 近地铁 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2472460328290754560.html,元/月,114.0621321159,22.532386204285,412
162126,深圳,整租,南山区,1,1,1,55,独栋·招商蛇口品牌公寓 壹栈人才公寓·太子湾 8周年免两月服务费 1室1厅,,蛇口,1室1厅1卫,5584-6768,拎包入住 近地铁 有阳台 开放厨房,东南 西南,https://m.lianjia.com/chuzu/sz/apartment/layout/256427.html,元/月,113.916126,22.481575,
166146,深圳,整租,龙岗区,2,1,1,52,整租·龙珠花园 2室1厅 南,龙珠花园,布吉关,2室1厅1卫,4000,官方核验 近地铁 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2492550243909386240.html,元/月,114.132012,22.609141,346
181445,深圳,合租,龙华区,5,1,2,7,合租·鸿荣源·壹城中心第九区 5居室 东卧,鸿荣源·壹城中心第九区,龙华中心,5室1厅2卫,1590,近地铁 精装 随时看房,东,https://m.lianjia.com/chuzu/sz/zufang/SZ2477745792035856384.html,元/月,114.034306,22.655875,659
156326,深圳,整租,福田区,1,1,1,24,整租·伟柏花园 1室1厅 东,伟柏花园,皇岗,1室1厅1卫,3700,月租 近地铁 精装 随时看房,东,https://m.lianjia.com/chuzu/sz/zufang/SZ2491070740535705600.html,元/月,114.07321695671,22.533984615955,820
173645,深圳,合租,福田区,4,1,1,10,合租·园岭新村 4居室 南卧,园岭新村,园岭,4室1厅1卫,1990,近地铁 精装 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2246320773029429248.html,元/月,114.107419,22.559617,2
172970,深圳,合租,罗湖区,4,1,1,8,合租·洪湖花园 4居室 南卧,洪湖花园,洪湖,4室1厅1卫,1730,近地铁 精装 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2065277711911763968.html,元/月,114.12723490038,22.563259294833,1112
180970,深圳,合租,宝安区,4,1,2,12,合租·龙珠花园 4居室 东卧,龙珠花园,西乡,4室1厅2卫,2390,独立卫生间 精装 随时看房,东,https://m.lianjia.com/chuzu/sz/zufang/SZ2479244311217586176.html,元/月,113.88468794859,22.586933073201,
163974,深圳,整租,宝安区,2,1,1,50,独栋·平台认证机构 凤凰木店 精装两房一厅 2室1厅,,新安,2室1厅1卫,3600,月租 拎包入住 近地铁 有阳台 开放厨房,南,https://m.lianjia.com/chuzu/sz/apartment/layout/269857.html,元/月,113.908309,22.579592,
152377,深圳,整租,罗湖区,1,1,1,52,整租·旺业豪苑 1室1厅 南,旺业豪苑,东门,1室1厅1卫,4800,官方核验 近地铁,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2464478577534435328.html,元/月,114.13228716422,22.560864696665,594
87498,深圳,合租,福田区,4,1,1,11,合租·宏威花园 4居室 东卧,宏威花园,莲花,4室1厅1卫,2290,近地铁 精装 独立阳台 随时看房,东,https://m.lianjia.com/chuzu/sz/zufang/SZ2316699766585049088.html,元/月,,,
153117,深圳,整租,罗湖区,1,1,1,39,整租·新天地名居 1室1厅 南/北,新天地名居,黄贝岭,1室1厅1卫,4200,官方核验 近地铁 随时看房,南 北,https://m.lianjia.com/chuzu/sz/zufang/SZ2381067400440455168.html,元/月,114.14065166716,22.550579256152,142
161486,深圳,整租,南山区,2,1,1,73,整租·钜建大厦 2室1厅 东南,钜建大厦,后海,2室1厅1卫,7776,官方核验 新上,东南,https://m.lianjia.com/chuzu/sz/zufang/SZ2497132638385471488.html,元/月,,,
182056,深圳,整租,盐田区,3,1,2,88,整租·东部阳光 3室1厅 南,东部阳光,沙头角,3室1厅2卫,6000,官方核验 双卫生间,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2407845355657109504.html,元/月,114.251307,22.568646,
179157,深圳,整租,龙华区,7,2,3,228,整租·新华城 7室2厅 复式 南,新华城,龙华新区,7室2厅3卫,28000,官方核验 精装,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2225300508338290688.html,元/月,114.03778089849,22.647964923071,
158513,深圳,整租,福田区,2,1,1,68,整租·尚书苑 2室1厅 南,尚书苑,梅林,2室1厅1卫,7830,近地铁 精装 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2118581321923035136.html,元/月,114.04403047283,22.568739099499,18
162572,深圳,整租,宝安区,3,2,1,88,整租·广三保 3室2厅 西南,广三保,新安,3室2厅1卫,4800,官方核验,西南,https://m.lianjia.com/chuzu/sz/zufang/SZ2477622119626702848.html,元/月,113.91706306819,22.567945690095,
157937,深圳,整租,福田区,3,2,2,127,整租·富霖花园 3室2厅 南,富霖花园,景田,3室2厅2卫,11000,官方核验 新上 近地铁 双卫生间 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2495055537658396672.html,元/月,114.05473867508,22.555715167959,378
163963,深圳,整租,宝安区,1,0,1,25,独栋·小象公寓 洪浪北社区 阳光单间 开间,,新安,1室0厅1卫,1750,月租 近地铁 开放厨房,南,https://m.lianjia.com/chuzu/sz/apartment/layout/241806.html,元/月,113.913043,22.585314,
166233,深圳,整租,龙岗区,3,1,2,118,整租·信义荔山公馆 3室1厅 南,信义荔山公馆,布吉关,3室1厅2卫,7800,官方核验 新上 双卫生间,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2495643235264249856.html,元/月,114.13287697435,22.598299456302,719
179156,深圳,整租,龙华区,1,1,1,43,整租·苹果园 1室1厅 北,苹果园,龙华新区,1室1厅1卫,3500,官方核验,北,https://m.lianjia.com/chuzu/sz/zufang/SZ2489107807589105664.html,元/月,114.036067,22.644323,
165979,深圳,整租,龙岗区,1,0,1,43,整租·佳兆业大都汇 1室0厅 西北,佳兆业大都汇,布吉关,1室0厅1卫,2700,官方核验 近地铁,西北,https://m.lianjia.com/chuzu/sz/zufang/SZ2443622198007562240.html,元/月,114.129203,22.607857,
161261,深圳,整租,南山区,1,1,1,40,整租·南油B区 1室1厅 南,南油B区,后海,1室1厅1卫,4100,官方核验 近地铁 随时看房,南,https://m.lianjia.com/chuzu/sz/zufang/SZ2482592502004326400.html,元/月,113.936734,22.51694,347
