longitude,latitude,aver_price,latlon
113.35768,23.17504,51.7,"113.35768,23.17504"
113.365793,23.172016,49.5,"113.365793,23.172016"
113.36264,23.174549,52.9,"113.36264,23.174549"
113.365793,23.172016,53.8,"113.365793,23.172016"
113.365793,23.172016,48.9,"113.365793,23.172016"
113.366831,23.173789,57.0,"113.366831,23.173789"
113.366831,23.173789,59.5,"113.366831,23.173789"
113.366831,23.173789,57.8,"113.366831,23.173789"
113.365793,23.172016,50.0,"113.365793,23.172016"
113.364747,23.173677,50.0,"113.364747,23.173677"
113.365793,23.172016,55.2,"113.365793,23.172016"
113.355732,23.174067,76.3,"113.355732,23.174067"
113.35768,23.17504,35.2,"113.35768,23.17504"
113.365793,23.172016,50.0,"113.365793,23.172016"
113.36053147175,23.175687919093,44.4,"113.36053147175,23.175687919093"
113.35349713418,23.179702713964,39.8,"113.35349713418,23.179702713964"
113.36264,23.174549,50.0,"113.36264,23.174549"
113.361031,23.173202,48.0,"113.361031,23.173202"
113.355732,23.174067,79.7,"113.355732,23.174067"
113.355732,23.174067,77.6,"113.355732,23.174067"
113.361031,23.173202,45.9,"113.361031,23.173202"
113.35768,23.17504,36.9,"113.35768,23.17504"
113.35768,23.17504,47.8,"113.35768,23.17504"
113.35768,23.17504,53.6,"113.35768,23.17504"
113.355732,23.174067,76.3,"113.355732,23.174067"
113.355732,23.174067,77.6,"113.355732,23.174067"
113.36264,23.174549,39.6,"113.36264,23.174549"
113.35768,23.17504,54.9,"113.35768,23.17504"
113.355732,23.174067,77.6,"113.355732,23.174067"
113.36264,23.174549,52.9,"113.36264,23.174549"
